test.lang	test.name	test.file	proc.real	proc.user	proc.system
C++	pixeldata.read	NIRHTa-001.ome.tiff	5900	4840	1020
C++	pixeldata.read.init	NIRHTa-001.ome.tiff	2140	2070	80
C++	pixeldata.read.pixels	NIRHTa-001.ome.tiff	3760	2770	940
C++	pixeldata.write	NIRHTa-001.ome.tiff	31640	6150	25470
C++	pixeldata.write.init	NIRHTa-001.ome.tiff	1530	1520	10
C++	pixeldata.write.pixels	NIRHTa-001.ome.tiff	29000	3570	25410
C++	pixeldata.write.close	NIRHTa-001.ome.tiff	1110	1060	50
C++	pixeldata.read	NIRHTa-001.ome.tiff	5960	4830	1070
C++	pixeldata.read.init	NIRHTa-001.ome.tiff	2160	2070	80
C++	pixeldata.read.pixels	NIRHTa-001.ome.tiff	3800	2760	990
C++	pixeldata.write	NIRHTa-001.ome.tiff	29840	6100	23710
C++	pixeldata.write.init	NIRHTa-001.ome.tiff	1510	1510	0
C++	pixeldata.write.pixels	NIRHTa-001.ome.tiff	27210	3520	23660
C++	pixeldata.write.close	NIRHTa-001.ome.tiff	1120	1070	50
C++	pixeldata.read	NIRHTa-001.ome.tiff	5570	4770	750
C++	pixeldata.read.init	NIRHTa-001.ome.tiff	2180	2080	90
C++	pixeldata.read.pixels	NIRHTa-001.ome.tiff	3390	2690	660
C++	pixeldata.write	NIRHTa-001.ome.tiff	29570	5970	23580
C++	pixeldata.write.init	NIRHTa-001.ome.tiff	1510	1520	0
C++	pixeldata.write.pixels	NIRHTa-001.ome.tiff	26940	3400	23520
C++	pixeldata.write.close	NIRHTa-001.ome.tiff	1120	1050	60
C++	pixeldata.read	NIRHTa-001.ome.tiff	5730	4740	940
C++	pixeldata.read.init	NIRHTa-001.ome.tiff	2180	2090	80
C++	pixeldata.read.pixels	NIRHTa-001.ome.tiff	3550	2650	860
C++	pixeldata.write	NIRHTa-001.ome.tiff	31700	5990	25690
C++	pixeldata.write.init	NIRHTa-001.ome.tiff	1510	1520	0
C++	pixeldata.write.pixels	NIRHTa-001.ome.tiff	29080	3410	25640
C++	pixeldata.write.close	NIRHTa-001.ome.tiff	1110	1060	50
C++	pixeldata.read	NIRHTa-001.ome.tiff	5830	4790	990
C++	pixeldata.read.init	NIRHTa-001.ome.tiff	2170	2070	100
C++	pixeldata.read.pixels	NIRHTa-001.ome.tiff	3660	2720	890
C++	pixeldata.write	NIRHTa-001.ome.tiff	29810	6050	23740
C++	pixeldata.write.init	NIRHTa-001.ome.tiff	1520	1520	10
C++	pixeldata.write.pixels	NIRHTa-001.ome.tiff	27180	3480	23670
C++	pixeldata.write.close	NIRHTa-001.ome.tiff	1110	1050	60
C++	pixeldata.read	NIRHTa-001.ome.tiff	5610	4810	760
C++	pixeldata.read.init	NIRHTa-001.ome.tiff	2170	2090	80
C++	pixeldata.read.pixels	NIRHTa-001.ome.tiff	3440	2720	680
C++	pixeldata.write	NIRHTa-001.ome.tiff	29650	6140	23490
C++	pixeldata.write.init	NIRHTa-001.ome.tiff	1540	1530	10
C++	pixeldata.write.pixels	NIRHTa-001.ome.tiff	26980	3550	23410
C++	pixeldata.write.close	NIRHTa-001.ome.tiff	1130	1060	70
C++	pixeldata.read	NIRHTa-001.ome.tiff	5890	4890	960
C++	pixeldata.read.init	NIRHTa-001.ome.tiff	2160	2080	100
C++	pixeldata.read.pixels	NIRHTa-001.ome.tiff	3730	2810	860
C++	pixeldata.write	NIRHTa-001.ome.tiff	31980	6110	25640
C++	pixeldata.write.init	NIRHTa-001.ome.tiff	1510	1520	0
C++	pixeldata.write.pixels	NIRHTa-001.ome.tiff	29360	3540	25570
C++	pixeldata.write.close	NIRHTa-001.ome.tiff	1110	1050	70
C++	pixeldata.read	NIRHTa-001.ome.tiff	5880	4880	950
C++	pixeldata.read.init	NIRHTa-001.ome.tiff	2180	2110	80
C++	pixeldata.read.pixels	NIRHTa-001.ome.tiff	3700	2770	870
C++	pixeldata.write	NIRHTa-001.ome.tiff	31420	6070	25340
C++	pixeldata.write.init	NIRHTa-001.ome.tiff	1510	1510	0
C++	pixeldata.write.pixels	NIRHTa-001.ome.tiff	28810	3500	25280
C++	pixeldata.write.close	NIRHTa-001.ome.tiff	1100	1060	60
