test.lang	test.name	test.file	system.time	thread.time	proc.real	proc.user	proc.system
JACE	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0	0
JACE	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	41467	40844	41460	27170	16040
JACE	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	212	213	220	150	60
JACE	pixeldata.read	tubhiswt_C0_TP0.ome.tif	3096	2987	3090	3960	450
JACE	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	92	92	90	80	10
JACE	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	3003	2895	3000	3880	440
JACE	pixeldata.write	tubhiswt_C0_TP0.ome.tif	39087	38469	39090	24950	14980
JACE	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0	0
JACE	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	38877	38259	38880	24790	14930
JACE	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	209	209	210	160	50
JACE	pixeldata.read	tubhiswt_C0_TP0.ome.tif	3063	3000	3070	3510	430
JACE	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	92	92	90	90	10
JACE	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	2970	2907	2980	3420	420
JACE	pixeldata.write	tubhiswt_C0_TP0.ome.tif	38989	38293	38990	25920	14500
JACE	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0	0
JACE	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	38780	38084	38780	25760	14450
JACE	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	208	208	210	160	50
JACE	pixeldata.read	tubhiswt_C0_TP0.ome.tif	3158	3034	3160	4130	600
JACE	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	91	91	90	80	20
JACE	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	3066	2943	3070	4050	580
JACE	pixeldata.write	tubhiswt_C0_TP0.ome.tif	39123	38418	39120	25680	14860
JACE	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0	0
JACE	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	38910	38205	38910	25350	14800
JACE	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	212	212	210	330	60
JACE	pixeldata.read	tubhiswt_C0_TP0.ome.tif	3064	3017	3060	3200	460
JACE	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	92	90	90	90	10
JACE	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	2971	2927	2970	3110	450
JACE	pixeldata.write	tubhiswt_C0_TP0.ome.tif	39126	38363	39130	26040	14600
JACE	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0	0
JACE	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	38917	38153	38920	25890	14550
JACE	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	208	209	210	150	50
JACE	pixeldata.read	tubhiswt_C0_TP0.ome.tif	3164	3041	3160	4070	560
JACE	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	91	91	90	90	0
JACE	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	3073	2950	3070	3980	560
JACE	pixeldata.write	tubhiswt_C0_TP0.ome.tif	39067	38411	39070	25330	14780
JACE	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0	0
JACE	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	38854	38201	38850	25160	14730
JACE	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	211	209	220	170	50
JACE	pixeldata.read	tubhiswt_C0_TP0.ome.tif	3060	3012	3060	3260	440
JACE	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	89	89	90	110	10
JACE	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	2971	2922	2970	3150	430
JACE	pixeldata.write	tubhiswt_C0_TP0.ome.tif	38921	38353	38930	26320	14500
JACE	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0	0
JACE	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	38709	38143	38710	26160	14440
JACE	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	212	209	220	160	60
JACE	pixeldata.read	tubhiswt_C0_TP0.ome.tif	3156	3061	3150	3800	430
JACE	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	89	89	80	80	10
JACE	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	3067	2972	3070	3720	420
JACE	pixeldata.write	tubhiswt_C0_TP0.ome.tif	40301	39759	40300	25590	16150
JACE	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0	0
JACE	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	40084	39542	40090	25260	16080
JACE	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	216	216	210	330	70
JACE	pixeldata.read	tubhiswt_C0_TP0.ome.tif	3077	3006	3070	3610	430
JACE	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	93	90	90	110	10
JACE	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	2983	2915	2980	3500	420
JACE	pixeldata.write	tubhiswt_C0_TP0.ome.tif	39021	38353	39030	25660	14820
JACE	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	10	0
JACE	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	38785	38120	38790	25340	14740
JACE	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	235	232	240	310	80
JACE	pixeldata.read	tubhiswt_C0_TP0.ome.tif	3110	3012	3110	3660	460
JACE	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	89	89	90	80	10
JACE	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	3020	2922	3020	3580	450
JACE	pixeldata.write	tubhiswt_C0_TP0.ome.tif	39034	38478	39030	25680	14930
JACE	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0	0
JACE	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	38824	38271	38820	25510	14880
JACE	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	209	206	210	170	50
JACE	pixeldata.read	tubhiswt_C0_TP0.ome.tif	3015	2969	3020	3190	440
JACE	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	89	89	90	80	10
JACE	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	2926	2879	2930	3110	430
JACE	pixeldata.write	tubhiswt_C0_TP0.ome.tif	38937	38163	38940	26300	14430
JACE	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0	0
JACE	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	38729	37958	38730	26150	14360
JACE	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	207	204	210	150	70
