test.lang	test.name	test.file	system.time	thread.time	proc.real	proc.user	proc.system
JACE	pixeldata.read	tubhiswt_C0_TP0.ome.tif	4557	4374	4560	7490	1070
JACE	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	871	871	870	1840	40
JACE	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	3685	3502	3690	5650	1030
JACE	pixeldata.write	tubhiswt_C0_TP0.ome.tif	44750	43898	44750	31200	18100
JACE	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	7	6	10	10	10
JACE	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	43947	43105	43950	29540	17950
JACE	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	796	785	790	1650	140
