test.lang	test.name	test.file	real	proc.cpu	proc.user	proc.system
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	547	546	546	0
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	1185	998	982	15
