test.lang	test.name	test.file	system.time	thread.time	proc.real	proc.user	proc.system
JACE	pixeldata.write.pixels	00001_01.ome.tiff	4414	4382	4420	3920	1030
JACE	pixeldata.write.close	00001_01.ome.tiff	945	946	940	910	40
JACE	pixeldata.read	00001_01.ome.tiff	1372	1334	1370	1830	140
JACE	pixeldata.read.init	00001_01.ome.tiff	340	340	340	320	20
JACE	pixeldata.read.pixels	00001_01.ome.tiff	1032	994	1030	1510	120
JACE	pixeldata.write	00001_01.ome.tiff	5295	5265	5300	4750	1030
JACE	pixeldata.write.init	00001_01.ome.tiff	0	0	10	0	0
JACE	pixeldata.write.pixels	00001_01.ome.tiff	4376	4344	4370	3860	1000
JACE	pixeldata.write.close	00001_01.ome.tiff	919	920	920	890	30
JACE	pixeldata.read	00001_01.ome.tiff	1306	1307	1310	1220	110
JACE	pixeldata.read.init	00001_01.ome.tiff	326	327	330	320	20
JACE	pixeldata.read.pixels	00001_01.ome.tiff	980	980	980	900	90
JACE	pixeldata.write	00001_01.ome.tiff	5229	5166	5230	5280	990
JACE	pixeldata.write.init	00001_01.ome.tiff	0	0	0	0	0
JACE	pixeldata.write.pixels	00001_01.ome.tiff	4322	4258	4320	4400	960
JACE	pixeldata.write.close	00001_01.ome.tiff	906	907	910	880	30
JACE	pixeldata.read	00001_01.ome.tiff	1303	1304	1300	1190	110
JACE	pixeldata.read.init	00001_01.ome.tiff	324	324	320	310	20
JACE	pixeldata.read.pixels	00001_01.ome.tiff	979	979	980	880	90
JACE	pixeldata.write	00001_01.ome.tiff	5315	5179	5320	5980	970
JACE	pixeldata.write.init	00001_01.ome.tiff	0	0	0	0	0
JACE	pixeldata.write.pixels	00001_01.ome.tiff	4400	4263	4400	5080	930
JACE	pixeldata.write.close	00001_01.ome.tiff	914	915	920	900	40
JACE	pixeldata.read	00001_01.ome.tiff	1313	1313	1310	1250	90
JACE	pixeldata.read.init	00001_01.ome.tiff	330	330	330	350	10
JACE	pixeldata.read.pixels	00001_01.ome.tiff	983	983	980	900	80
JACE	pixeldata.write	00001_01.ome.tiff	5245	5190	5240	5220	950
JACE	pixeldata.write.init	00001_01.ome.tiff	0	0	0	0	0
JACE	pixeldata.write.pixels	00001_01.ome.tiff	4327	4271	4330	4330	920
JACE	pixeldata.write.close	00001_01.ome.tiff	917	917	910	890	30
JACE	pixeldata.read	00001_01.ome.tiff	1304	1304	1310	1190	120
JACE	pixeldata.read.init	00001_01.ome.tiff	328	328	330	320	20
JACE	pixeldata.read.pixels	00001_01.ome.tiff	976	976	980	870	100
JACE	pixeldata.write	00001_01.ome.tiff	5249	5196	5250	5180	960
JACE	pixeldata.write.init	00001_01.ome.tiff	0	0	0	0	0
JACE	pixeldata.write.pixels	00001_01.ome.tiff	4336	4282	4330	4300	920
JACE	pixeldata.write.close	00001_01.ome.tiff	912	913	920	880	40
JACE	pixeldata.read	00001_01.ome.tiff	1338	1306	1340	1730	120
JACE	pixeldata.read.init	00001_01.ome.tiff	324	324	320	310	10
JACE	pixeldata.read.pixels	00001_01.ome.tiff	1013	981	1020	1420	110
JACE	pixeldata.write	00001_01.ome.tiff	5187	5150	5180	4920	950
JACE	pixeldata.write.init	00001_01.ome.tiff	0	0	0	0	0
JACE	pixeldata.write.pixels	00001_01.ome.tiff	4279	4241	4280	4010	910
JACE	pixeldata.write.close	00001_01.ome.tiff	907	908	900	910	40
JACE	pixeldata.read	00001_01.ome.tiff	1322	1300	1330	1560	100
JACE	pixeldata.read.init	00001_01.ome.tiff	323	323	330	310	10
JACE	pixeldata.read.pixels	00001_01.ome.tiff	998	976	1000	1250	90
JACE	pixeldata.write	00001_01.ome.tiff	5236	5140	5240	5530	970
JACE	pixeldata.write.init	00001_01.ome.tiff	0	0	0	0	0
JACE	pixeldata.write.pixels	00001_01.ome.tiff	4332	4235	4340	4650	940
JACE	pixeldata.write.close	00001_01.ome.tiff	903	904	900	880	30
JACE	pixeldata.read	00001_01.ome.tiff	1333	1313	1330	1510	140
JACE	pixeldata.read.init	00001_01.ome.tiff	325	325	330	310	20
JACE	pixeldata.read.pixels	00001_01.ome.tiff	1007	987	1000	1200	120
JACE	pixeldata.write	00001_01.ome.tiff	5206	5171	5210	4870	970
JACE	pixeldata.write.init	00001_01.ome.tiff	0	0	0	0	0
JACE	pixeldata.write.pixels	00001_01.ome.tiff	4291	4255	4300	3960	940
JACE	pixeldata.write.close	00001_01.ome.tiff	913	914	910	910	30
