test.lang	test.name	test.file	system.time	thread.time	proc.real	proc.user	proc.system
JACE	pixeldata.read	00001_01.ome.tiff	2937	2870	2940	5120	790
JACE	pixeldata.read.init	00001_01.ome.tiff	1627	1626	1630	3180	60
JACE	pixeldata.read.pixels	00001_01.ome.tiff	1310	1244	1310	1940	730
JACE	pixeldata.write	00001_01.ome.tiff	7088	6949	7090	9230	2230
JACE	pixeldata.write.init	00001_01.ome.tiff	5	5	0	0	0
JACE	pixeldata.write.pixels	00001_01.ome.tiff	5194	5057	5200	5680	2170
JACE	pixeldata.write.close	00001_01.ome.tiff	1888	1886	1890	3550	60
