test.lang	test.name	test.file	proc.real	proc.user	proc.system
C++	pixeldata.write.close	00001_01.ome.tiff	1760	1710	60
C++	pixeldata.read	00001_01.ome.tiff	2420	2360	60
C++	pixeldata.read.init	00001_01.ome.tiff	2320	2300	20
C++	pixeldata.read.pixels	00001_01.ome.tiff	100	60	40
C++	pixeldata.write	00001_01.ome.tiff	3410	3260	160
C++	pixeldata.write.init	00001_01.ome.tiff	1500	1490	10
C++	pixeldata.write.pixels	00001_01.ome.tiff	140	50	100
C++	pixeldata.write.close	00001_01.ome.tiff	1770	1720	50
C++	pixeldata.read	00001_01.ome.tiff	2360	2340	20
C++	pixeldata.read.init	00001_01.ome.tiff	2270	2270	0
C++	pixeldata.read.pixels	00001_01.ome.tiff	90	70	20
C++	pixeldata.write	00001_01.ome.tiff	3400	3230	170
C++	pixeldata.write.init	00001_01.ome.tiff	1480	1480	0
C++	pixeldata.write.pixels	00001_01.ome.tiff	150	40	100
C++	pixeldata.write.close	00001_01.ome.tiff	1770	1710	70
C++	pixeldata.read	00001_01.ome.tiff	2420	2390	20
C++	pixeldata.read.init	00001_01.ome.tiff	2310	2300	0
C++	pixeldata.read.pixels	00001_01.ome.tiff	110	90	20
C++	pixeldata.write	00001_01.ome.tiff	3400	3260	140
C++	pixeldata.write.init	00001_01.ome.tiff	1500	1500	0
C++	pixeldata.write.pixels	00001_01.ome.tiff	140	40	100
C++	pixeldata.write.close	00001_01.ome.tiff	1760	1720	40
C++	pixeldata.read	00001_01.ome.tiff	2350	2330	20
C++	pixeldata.read.init	00001_01.ome.tiff	2250	2250	0
C++	pixeldata.read.pixels	00001_01.ome.tiff	100	80	20
C++	pixeldata.write	00001_01.ome.tiff	3360	3210	150
C++	pixeldata.write.init	00001_01.ome.tiff	1460	1460	0
C++	pixeldata.write.pixels	00001_01.ome.tiff	150	60	100
C++	pixeldata.write.close	00001_01.ome.tiff	1750	1690	50
C++	pixeldata.read	00001_01.ome.tiff	2350	2320	30
C++	pixeldata.read.init	00001_01.ome.tiff	2250	2250	10
C++	pixeldata.read.pixels	00001_01.ome.tiff	100	70	20
C++	pixeldata.write	00001_01.ome.tiff	3370	3210	160
C++	pixeldata.write.init	00001_01.ome.tiff	1470	1470	0
C++	pixeldata.write.pixels	00001_01.ome.tiff	150	50	100
C++	pixeldata.write.close	00001_01.ome.tiff	1750	1690	60
C++	pixeldata.read	00001_01.ome.tiff	2350	2330	20
C++	pixeldata.read.init	00001_01.ome.tiff	2260	2260	0
C++	pixeldata.read.pixels	00001_01.ome.tiff	90	70	20
C++	pixeldata.write	00001_01.ome.tiff	3360	3210	160
C++	pixeldata.write.init	00001_01.ome.tiff	1470	1470	0
C++	pixeldata.write.pixels	00001_01.ome.tiff	140	40	100
C++	pixeldata.write.close	00001_01.ome.tiff	1750	1700	60
