test.lang	test.name	test.file	real	proc.cpu	proc.user	proc.system
Java	pixeldata.read	tubhiswt_C0_TP0.ome.tif	4035	3844	3310	534
Java	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	759	756	740	16
Java	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	3275	3087	2570	517
Java	pixeldata.write	tubhiswt_C0_TP0.ome.tif	7199	7142	5460	1682
Java	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	4	4	0	4
Java	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	6508	6453	4840	1613
Java	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	686	685	620	65
