test.lang	test.name	test.file	system.time	thread.time	proc.real	proc.user	proc.system
JACE	pixeldata.read	NIRHTa-001.ome.tiff	110323	107329	110320	148610	11930
JACE	pixeldata.read.init	NIRHTa-001.ome.tiff	2762	2761	2760	4710	190
JACE	pixeldata.read.pixels	NIRHTa-001.ome.tiff	107561	104568	107560	143900	11740
JACE	pixeldata.write	NIRHTa-001.ome.tiff	4337668	4313021	4337670	2773510	1842740
JACE	pixeldata.write.init	NIRHTa-001.ome.tiff	15	15	10	20	0
JACE	pixeldata.write.pixels	NIRHTa-001.ome.tiff	4333681	4309056	4333680	2768940	1841540
JACE	pixeldata.write.close	NIRHTa-001.ome.tiff	3971	3949	3980	4550	1200
