test.lang	test.name	test.file	system.time	thread.time	proc.real	proc.user	proc.system
JACE	pixeldata.read	NIRHTa-001.ome.tiff	110811	107638	110810	151910	11710
JACE	pixeldata.read.init	NIRHTa-001.ome.tiff	2766	2765	2760	4820	200
JACE	pixeldata.read.pixels	NIRHTa-001.ome.tiff	108044	104872	108050	147090	11510
JACE	pixeldata.write	NIRHTa-001.ome.tiff	4284943	4262403	4284940	2737120	1832520
JACE	pixeldata.write.init	NIRHTa-001.ome.tiff	15	15	10	10	0
JACE	pixeldata.write.pixels	NIRHTa-001.ome.tiff	4281100	4258577	4281100	2732640	1831450
JACE	pixeldata.write.close	NIRHTa-001.ome.tiff	3826	3810	3830	4470	1070
