test.lang	test.name	test.file	real	proc.cpu	proc.user	proc.system
Java	pixeldata.read	NIRHTa-001.ome.tiff	108319	105639	96250	9389
Java	pixeldata.read.init	NIRHTa-001.ome.tiff	2407	2374	2230	144
Java	pixeldata.read.pixels	NIRHTa-001.ome.tiff	105912	103264	94020	9244
Java	pixeldata.write	NIRHTa-001.ome.tiff	76758	75971	61480	14491
Java	pixeldata.write.init	NIRHTa-001.ome.tiff	14	14	10	4
Java	pixeldata.write.pixels	NIRHTa-001.ome.tiff	72768	72022	58610	13412
Java	pixeldata.write.close	NIRHTa-001.ome.tiff	3975	3935	2860	1075
