test.lang	test.name	test.file	real	proc.cpu	proc.user	proc.system
Java	pixeldata.read	tubhiswt_C0_TP0.ome.tif	3903	3724	3220	504
Java	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	772	769	750	19
Java	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	3131	2954	2470	484
Java	pixeldata.write	tubhiswt_C0_TP0.ome.tif	7079	7019	5430	1589
Java	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	4	4	0	4
Java	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	6419	6361	4850	1511
Java	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	654	653	580	73
