test.lang	test.name	test.file	system.time	thread.time	proc.real	proc.user	proc.system
JACE	pixeldata.read	00001_01.ome.tiff	2959	2892	2960	5210	720
JACE	pixeldata.read.init	00001_01.ome.tiff	1635	1634	1640	3190	80
JACE	pixeldata.read.pixels	00001_01.ome.tiff	1324	1258	1320	2020	640
JACE	pixeldata.write	00001_01.ome.tiff	6945	6824	6950	9050	1950
JACE	pixeldata.write.init	00001_01.ome.tiff	5	5	10	10	0
JACE	pixeldata.write.pixels	00001_01.ome.tiff	5042	4924	5040	5490	1860
JACE	pixeldata.write.close	00001_01.ome.tiff	1897	1894	1900	3550	90
