test.lang	test.name	test.file	system.time	thread.time	proc.real	proc.user	proc.system
JACE	metadata.read	00001_01.ome.tiff	1255	1234	1260	2730	120
JACE	metadata.write	00001_01.ome.tiff	8509	8059	8510	12800	600
