test.lang	test.name	test.file	proc.real	proc.user	proc.system
C++	pixeldata.read	NIRHTa-001.ome.tiff	15637	7971	7659
C++	pixeldata.read.init	NIRHTa-001.ome.tiff	4534	3868	670
C++	pixeldata.read.pixels	NIRHTa-001.ome.tiff	11103	4102	6988
C++	pixeldata.write	NIRHTa-001.ome.tiff	85401	12090	73320
C++	pixeldata.write.init	NIRHTa-001.ome.tiff	1704	1716	0
C++	pixeldata.write.pixels	NIRHTa-001.ome.tiff	82215	8923	73289
C++	pixeldata.write.close	NIRHTa-001.ome.tiff	1482	1450	31
