test.lang	test.name	test.file	system.time	thread.time	proc.real	proc.user	proc.system
JACE	pixeldata.read	00001_01.ome.tiff	2947	2873	2940	5140	900
JACE	pixeldata.read.init	00001_01.ome.tiff	1641	1640	1640	3180	80
JACE	pixeldata.read.pixels	00001_01.ome.tiff	1305	1232	1300	1960	820
JACE	pixeldata.write	00001_01.ome.tiff	6927	6802	6930	9130	1870
JACE	pixeldata.write.init	00001_01.ome.tiff	5	5	10	0	0
JACE	pixeldata.write.pixels	00001_01.ome.tiff	5028	4906	5030	5650	1760
JACE	pixeldata.write.close	00001_01.ome.tiff	1893	1890	1890	3480	110
