test.lang	test.name	test.file	system.time	thread.time	proc.real	proc.user	proc.system
JACE	pixeldata.read	00001_01.ome.tiff	2966	2903	2960	5220	690
JACE	pixeldata.read.init	00001_01.ome.tiff	1648	1648	1640	3220	80
JACE	pixeldata.read.pixels	00001_01.ome.tiff	1317	1255	1320	2000	610
JACE	pixeldata.write	00001_01.ome.tiff	6843	6727	6840	9000	1840
JACE	pixeldata.write.init	00001_01.ome.tiff	5	5	10	0	0
JACE	pixeldata.write.pixels	00001_01.ome.tiff	4971	4857	4970	5470	1780
JACE	pixeldata.write.close	00001_01.ome.tiff	1866	1864	1860	3530	60
