test.lang	test.name	test.file	real	proc.cpu	proc.user	proc.system
Java	metadata.read	tubhiswt_C0_TP0.ome.tif	489	487	480	7
Java	metadata.write	tubhiswt_C0_TP0.ome.tif	1248	958	940	19
