test.lang	test.name	test.file	system.time	thread.time	proc.real	proc.user	proc.system
JACE	pixeldata.read	tubhiswt_C0_TP0.ome.tif	4431	4249	4430	7660	1030
JACE	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	868	868	870	1800	50
JACE	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	3563	3381	3560	5860	980
JACE	pixeldata.write	tubhiswt_C0_TP0.ome.tif	42402	41445	42400	29930	16310
JACE	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	5	5	0	10	0
JACE	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	41592	40702	41590	28300	16240
JACE	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	804	737	810	1620	70
