test.lang	test.name	test.file	real	proc.cpu	proc.user	proc.system
Java	pixeldata.write	tubhiswt_C0_TP0.ome.tif	16842	8424	5101	3322
Java	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0
Java	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	16547	8127	4960	3166
Java	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	294	296	140	156
Java	pixeldata.read	tubhiswt_C0_TP0.ome.tif	4175	4165	2496	1669
Java	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	82	78	15	62
Java	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	4093	4087	2480	1606
Java	pixeldata.write	tubhiswt_C0_TP0.ome.tif	16443	8658	5304	3354
Java	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0
Java	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	16110	8346	5132	3213
Java	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	332	312	171	140
Java	pixeldata.read	tubhiswt_C0_TP0.ome.tif	4156	4149	2574	1575
Java	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	78	78	31	46
Java	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	4077	4071	2542	1528
Java	pixeldata.write	tubhiswt_C0_TP0.ome.tif	17462	8486	5350	3135
Java	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0
Java	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	17168	8190	5163	3026
Java	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	293	296	187	109
Java	pixeldata.read	tubhiswt_C0_TP0.ome.tif	4164	4165	2371	1794
Java	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	77	78	31	46
Java	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	4087	4087	2340	1747
Java	pixeldata.write	tubhiswt_C0_TP0.ome.tif	17038	8377	5007	3369
Java	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0
Java	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	16737	8080	4867	3213
Java	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	301	296	140	156
Java	pixeldata.read	tubhiswt_C0_TP0.ome.tif	4234	4196	2667	1528
Java	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	77	78	62	15
Java	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	4156	4118	2605	1513
Java	pixeldata.write	tubhiswt_C0_TP0.ome.tif	16781	8548	5288	3260
Java	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0
Java	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	16487	8268	5132	3135
Java	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	293	280	156	124
Java	pixeldata.read	tubhiswt_C0_TP0.ome.tif	4194	4180	2730	1450
Java	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	77	78	46	31
Java	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	4116	4102	2683	1419
Java	pixeldata.write	tubhiswt_C0_TP0.ome.tif	16153	8470	5241	3229
Java	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0
Java	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	15859	8174	5148	3026
Java	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	293	296	93	202
Java	pixeldata.read	tubhiswt_C0_TP0.ome.tif	4159	4165	2542	1622
Java	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	77	78	31	46
Java	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	4081	4087	2511	1575
Java	pixeldata.write	tubhiswt_C0_TP0.ome.tif	17181	8595	5163	3432
Java	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0
Java	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	16880	8299	5023	3276
Java	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	300	296	140	156
Java	pixeldata.read	tubhiswt_C0_TP0.ome.tif	4222	4196	2730	1466
Java	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	77	78	46	31
Java	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	4145	4118	2683	1435
Java	pixeldata.write	tubhiswt_C0_TP0.ome.tif	14362	8455	4882	3572
Java	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0
Java	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	14070	8158	4742	3416
Java	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	292	296	140	156
Java	pixeldata.read	tubhiswt_C0_TP0.ome.tif	4192	4149	2340	1809
Java	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	76	78	31	46
Java	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	4116	4071	2308	1762
Java	pixeldata.write	tubhiswt_C0_TP0.ome.tif	16649	8548	5428	3120
Java	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0
Java	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	16325	8252	5257	2995
Java	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	324	296	171	124
Java	pixeldata.read	tubhiswt_C0_TP0.ome.tif	4159	4149	2308	1840
Java	pixeldata.read.init	tubhiswt_C0_TP0.ome.tif	76	78	46	31
Java	pixeldata.read.pixels	tubhiswt_C0_TP0.ome.tif	4083	4071	2262	1809
Java	pixeldata.write	tubhiswt_C0_TP0.ome.tif	16301	8502	5241	3260
Java	pixeldata.write.init	tubhiswt_C0_TP0.ome.tif	0	0	0	0
Java	pixeldata.write.pixels	tubhiswt_C0_TP0.ome.tif	15968	8190	5070	3120
Java	pixeldata.write.close	tubhiswt_C0_TP0.ome.tif	332	312	171	140
